Symbol,Date,Exchange,Open,High,Low,Close,Prev High,Prev Low,Prev Close,GAP%,ATR14,Outstanding Shares,Market Cap,Volume(-1),Volume(-2),Volume(-3),Avg Prev 3 Day Volume,PM Volume,Daily Volume,Volume Open to HOD,Volume HOD to Close,PM Trades,No. Trades,PM Volume / Avg Prev 3 Day Volume,Daily Volume / Avg Prev 3 Day Volume,PM Supply Rotation,Daily Supply Rotation,Supply Rotations Open to HOD,Supply Rotations HOD to Close,Open Time,Time HOD,Time LOD,Minutes Open to HOD,Minutes Open to LOD,Time HOD - LOD,Broke PM High,Broke PM Low,Day
CTIC,2020-09-30,NASDAQ,2.31,2.68,1.9,2.15,1.06,1.02,1.05,120.0,1.68,73716760.0,77402598.0,8734080.0,85103.0,77276.0,2965486.33,7873662.0,107202789.0,16074480.0,78307364.0,18326.0,319511.0,2.66,36.15,0.11,1.45,0.22,1.06,09:30:00,04:11:00,14:28:00,-319.0,298.0,-617.0,False,True,2
CTEK,2020-09-30,NYSE,1.96,2.5,1.34,1.57,1.16,1.06,1.11,76.58,1.54,10597024.0,11762696.64,25441.0,50459.0,49435.0,41778.33,4258468.0,53146799.0,28280993.0,17976109.0,14514.0,178132.0,101.93,1272.11,0.4,5.02,2.67,1.7,09:30:00,09:12:00,09:00:00,-18.0,-30.0,12.0,False,False,2
SLDB,2020-10-01,NASDAQ,78.15,91.5,51.45,51.9,32.77,30.45,30.45,156.65,62.55,46178519.0,93742393.57,62304.0,66830.0,116501.0,81878.33,1586977.0,12930875.47,1519820.47,9027880.13,5265.2,57024.6,19.38,157.93,0.03,0.28,0.03,0.2,09:30:00,09:40:00,07:30:00,10.0,-120.0,130.0,True,False,3
ENLV,2020-10-01,NASDAQ,10.51,11.83,7.91,8.79,6.0,4.89,5.94,76.94,7.1,13463771.0,79974799.74,820492.0,27687.0,9636.0,285938.33,8830416.0,43624252.0,8832333.0,21676285.0,34162.0,229030.0,30.88,152.57,0.66,3.24,0.66,1.61,09:30:00,06:52:00,06:54:00,-158.0,-156.0,-2.0,False,False,3
LONE,2020-10-02,NASDAQ,0.54,0.59,0.31,0.31,0.26,0.19,0.24,120.9,0.4,25375314.0,6204264.27,20624525.0,3128047.0,23764946.0,15839172.67,25353250.0,106153920.0,6884125.0,69965615.0,27077.0,116635.0,1.6,6.7,1.0,4.18,0.27,2.76,09:30:00,07:10:00,15:59:00,-140.0,389.0,-529.0,False,True,4
XTNT,2020-10-02,NYSE,2.25,2.5,1.34,1.57,0.88,0.81,0.82,174.29,1.79,13240831.0,10861453.67,2294643.0,109691.0,41069.0,815134.33,20417108.0,112349679.0,,85613614.0,51803.0,375360.0,25.05,137.83,1.54,8.49,,6.47,09:30:00,09:30:00,04:31:00,0.0,-299.0,299.0,True,False,4
GRNQ,2020-10-05,NASDAQ,24.7,27.4,17.5,18.6,11.7,10.2,10.9,126.61,18.4,59203333.0,64531632.97,531822.0,341317.0,1026221.0,633120.0,1440299.7,13305069.7,,11106203.8,4705.1,43328.8,2.27,21.02,0.02,0.22,,0.19,09:30:00,09:03:00,04:22:00,-27.0,-308.0,281.0,False,False,0
PPSI,2020-10-06,NASDAQ,3.32,9.43,2.9,4.8,1.75,1.47,1.57,111.46,8.2,8726045.0,13699890.65,943508.0,364330.0,230622.0,512820.0,19523476.0,321675853.0,155372048.0,126573607.0,61525.0,1250147.0,38.07,627.27,2.24,36.86,17.81,14.51,09:30:00,10:59:00,04:02:00,89.0,-328.0,417.0,True,False,1
RAVE,2020-10-07,NASDAQ,1.98,2.36,0.92,1.17,0.57,0.47,0.51,285.41,1.96,15465222.0,7949124.11,2217623.0,178294.0,97004.0,830973.67,8631574.0,66880595.0,,53627463.0,25605.0,173058.0,10.39,80.48,0.56,4.32,,3.47,09:30:00,04:28:00,04:09:00,-302.0,-321.0,19.0,False,False,2
AREC,2020-10-07,NASDAQ,3.09,4.93,2.47,2.6,1.69,1.58,1.63,89.57,3.63,31838495.0,51896746.85,42447.0,67916.0,41498.0,50620.33,5983865.0,160000163.0,33238492.0,112915535.0,16195.0,638745.0,118.21,3160.79,0.19,5.03,1.04,3.55,09:30:00,09:55:00,08:02:00,25.0,-88.0,113.0,True,False,2
